,,,,,,,,,,,,
번호,사업명,의뢰사,전체 계약기간,계약상세,,,,측정지점,,측정항목,,
18,(신)한울 원전 주변 일반환경조사 및 평가 용역,㈜동일기술공사,2025.05.19~2028.04.23,,2025.05~2028.04(반기1회),,,7지점,,,,"1일연속(PM-10,NO2,SO2,CO)"
19,고객 주차장 증축공사 사후(서울대병원)공사시,㈜동해기술공사,2024.11.15~2030.11.14,2024.11~2030.11 (분기 1회),,,,2지점,,,3일연속,
20,용인언남지구 사후환경영향조사,㈜동해기술공사,2025.02.10~2029.04.30,2025.02~2029.04 (분기 1회),,,,6지점,,,3일연속,
21,김포시 통진레코파크 증설사업 사후환경영향평가,㈜동해기술공사,2024.10.23~2026.09.30,2024.10~2026.09 (분기 1회),,,,3지점,,,3일연속,
22,고양창릉공공주택지구 사후환경영향조사,㈜동해기술공사,2023.07.25~2030.07.13,2023.07~2030.07 (분기 1회 ),,,,8지점,,,1일연속,
23,이문4재정비촉진구역 주택재개발 정비사업에 따른 사후환경영향조사,㈜동해기술공사,2025.07.11~2029.12.31,2025.07~2029.12 (분기 1회),,,,2지점,,,3일연속,
24,상봉9 재정비촉진구역 도시정비형 재개발사업 사후환경영향조사,㈜동해기술공사,2024.03.26~2031.03.26,2024.03~2031.03 (월1회),,,,4지점,,,3일연속,
25,남양주 양정역세권 도시개발사업지구 사후환경영향조사(공사시) 용역,㈜동해기술공사,2023.10.16~2029.05.29,2023.10~2029.05 (분기 1회),,,,5지점,,,3일연속,
26,여수 화태-백야(1공구)도로건설공사 사후,㈜동해기술공사,2025.01.01~2031.12.27,2023.01~2031.12 (분기 1회),,,,4지점,,,3일연속,
27,여수 화태-백야(1공구)도로건설공사 사후,㈜동해기술공사,2025.04.10~과업완료시,2025.04~2031.08 (분기 1회),,,,4지점,,,1일연속,
28,남영동 업무지구 제2구역 도시정비형 재개발사업 환경영향평가 용역,㈜동해기술공사,2025.07.30~과업완료시,,,,2025.07~과업완료시 (1회),,3지점,3일연속,,
29,성수동 삼표부지 개발을 위한 전략환경영향평가 용역,㈜동해기술공사,2025.01.15~과업완료시,,,,2025.01~과업완료시 (1회),4지점,,1일연속,,
30,성남시 생활폐기물처리시설 민간투자사업 사후환경영향조사(공사시),㈜동해기술공사,2025.03.06~과업완료시,2024.12~2027.11 (분기 1회),,,,1지점,,,,"1일연속(PM-10,PM-2.5)"
31,주암장군마을 주택재개발정비사업 사후환경영향조사 용역,㈜동해기술공사,2024.04.05~2029.04.30,2024.04~2029.04 (분기 1회),,,,2지점,1지점,,3일연속,
32,창동역 복합환승센터 개발사업 환경영향평가 용역 중 환경질측정,㈜동해기술공사,2025.03.24~과업완료시,,,,2025.04~과업완료시 (1회),,2지점,,,"3일연속(PM-10,PM-2.5)"
33,광양항 광역 준설토 투기장 조성공사 사후환경영향조사용역(공사시) ,㈜마린,2023.03.08~2027.03.28,2023.03~2027.03 (분기1회),,,,,1지점,,,"3일연속(PM-10,PM-2.5)"
34,인천 로봇랜드 조성사업 사후환경영향조사(공사시) 용역 중 환경질 조사,㈜마린,2025.01.20~2027.12.17,2025.01~2027.12 (분기1회),,,,,3지점,,,"3일연속(PM-10,PM-2.5)"
35,"포항영일만항 남방파제(2단계) 축조공사 사후환경영향조사용역(공사시)중 환경질 및 해양환경 조사
",㈜마린,2025.04.30~2028.12.08,2025.04~2028.12 (분기 1회),,,,4지점,,,1일연속,
36,영동군 용산면 청화리 산22-1번지 일원 개간사업 소규모 환경영향평가 용역 중 환경질 측정 용역,㈜미강이엔씨,2025.06.09~2025.09.30,,,,2025.09~과업완료시 (1회),,,1일연속,,
37,인천 중구 운북동 일원 대지조성사업 설계용역 중 소규모환경영향평가 용역 중 환경질 용역,㈜미강이엔씨,2025.08.25~2026.02.20,,,,2025.08~과업완료시 (1회),2지점,,1일연속,,
38,2025년 맹방관광단지 사후환경영향조사용역,㈜백두엔지니어링,2025.07.07~2026.07.31,2025.07~2026.07 (분기 1회),,,,2지점,,,,"1일연속(PM-10,PM-2.5,NO2,SO2,CO)"
39,강릉체육시설단지 빙상경기장(ITS)사후환경영향조사,㈜백두엔지니어링,2023.12..04~2027.12.31,2023.12~2027.12 (분기 1회),,,,5지점,,,,"1일연속(PM-10, NO2)"
40,삼척시 도계읍 심포리 26번지 일원 태양광발전소 소규모환경영향평가 용역,㈜백두엔지니어링,2025.03.10 ~ 과업완료시,,,,2025.03.~과업완료시 (1회),1지점,,3일연속,,
41,약사촉진4구역 주택재개발정비사업 소규모환경영향평가 중 환경질 측정 용역,㈜백두엔지니어링,2025.06.09 ~ 과업완료시,,,,2025.06.09~과업완료시 (1회),3지점,,3일연속,,
42,영주시 단산면 개간사업(인삼밭) 소규모환경영향평가 용역,㈜백두엔지니어링,2025.07.24~과업완료시,,,,2025.07.24~과업완료시 (1회),1지점,,3일연속,,
43,용문 방공대대 부지 군관리계획(지구단위계획 등) 전략환경영향평가 용역,㈜백두엔지니어링,2025.07.24~과업완료시,,,,2025.07.24~과업완료시 (1회),2지점,,1일연속,,
44,월문리 134번지 외 3필지 유통시설 조성사업 소규모환경영향평가 용역,㈜백두엔지니어링,2025.06.05~과업완료시,,,,2025.06.05~과업완료시 (1회),1지점,,1일연속,,
45,"임진강 유원지 조성계획(변경) 및 주변지역 정비사업 환경영향평가
용역 중 환경질(대기질, 악취, 지표수질, 소음진동) 측정 분야",㈜빈텍코리아,2025.02.03~과업완료시,,,,2025.02.03~과업완료시 (3회),4지점,,1일연속,,
46,용인언남지구 사후환경영향조사(공사시) 용역 중 환경질 조사,㈜삼영기술,2024.10.18~과업완료시,2024.10~2029.6 (분기 1회),,,,3지점,3지점,,3일연속,
47,"도시계획도로(안산근린공원 옆) 사업 소규모환경영향평가용역 중 환경질 측정(수질, 대기질, 소음진동) 용역",㈜삼육건설엔지니어링,2025.04.01~과업완료시,,,,2025.04.01~과업완료시 (1회),1지점,,3일연속,,
48,서산 북부권 파크골프장 조성사업 소규모환경영향평가용역 중 환경질 측정(,㈜삼육건설엔지니어링,2025.04.01~과업완료시,,,,2025.04.01~과업완료시 (1회),2지점,,3일연속,,
49,미호강 인산지구 등 3개소 사후환경영향조사용역 중 환경질 측정,(주)선진엔지니어링종합건축사사무소,2025.01.21~2030.10.06,2025.01~2030.10 (분기 1회),,,,6지점,,,1일연속,
50,부산항 북항 1단계 재개발사업 사후환경영향조사 중 환경질조사,㈜세일종합기술공사,2025.06.20~2027.06.12,2025.06~2027.06 (분기1회),,,,5지점,,,,"3일연속(PM-10,NO2)"
51,천안시 일봉근린공원(민간공원) 조성사업 사후환경영향조사,㈜세일종합기술공사,2023.06.01~2028.09.28,2025.06~2028.09 (분기 1회),,,,5지점,,,3일연속,
52,오천항 건설공사 사후환경영향조사용역(공사시),㈜세일종합기술공사,2025.02.07~2028.06.30,2025.02~2028.06 (분기 1회),,,,2지점,,,,"3일연속(PM-10,PM-2.5)"
53,"녹촌배수지 및 송배수관로 설치공사 소규모환경영향평가용역 중 환경질 [대기질, 지표수질 소음진동] 측정부분",㈜소운이앤씨,2025.03.04~과업완료시,,,,2025.03.04~과업완료시 (1회),1지점,,1일연속,,
54,"차단벽구조사격장 신축등 소규모환경영향평가용역 중 환경질(대기질, 지표수질,소음진동) 측정부분",㈜소운이앤씨,2025.04.16~과업완료시,,,,2025.04~과업완료시 (1회),2지점,,3일연속,,
55,"미호강 인산지구 등 3개소 사후환경영향조사용역 중 환경질측정(대기, 수질 소음 진동)",(주)씨엔에스환경기술,2025.02.18~2026.02.17,2025.02~과업완료시(분기 1회),,,,6지점,,,1일연속,
56,면목선 도시철도 건설사업 전략환경영향평가용역 중 환경질 측정,(주)엔탑엔지니어링,2025.04.03~2026.02.26,,,,2025.04~과업완료시 (1회),1지점,,3일연속,,
57,영양 군립공원묘원 환경영향평가용역 중 환경질 측정,(주)엔탑엔지니어링,2025.04.08~2026.02.26,,,,2025.04~과업완료시 (2회),3지점,,3일연속,,
58,임진강유원지 조성계획(변경) 및 주변지역 정비사업 환경영향평가용역 중 환경질 측정,㈜이음,2025.02.03~2025.11.07,,,,2025.02~과업완료시 (2회),4지점,,3일연속,,
59,춘천 한화리조트 골프장조성사업 사후환경영조사 ,㈜자연과사람,2024.09.20~2028.12.31,2024.09~2028.12 (분기 1회),,,,4지점,,,3일연속,
60,춘천시 남산면 수동리 산 109번지 일원 토석채취 및 공장부지 조성 소규모환경영향평가,㈜자연과사람,2024.11.15~2025.11.14,,,,2024.11~과업완료시 (2회),,2지점,3일연속,,
61,2030 화천군관리계획(재정비) 전략환경영향평가 용역,㈜자연과사람,2025.02.24~2026.02.23,,,,2025.02~과업완료시 (1회),5지점,,3일연속,,
62,간동힐링공원 조성사업 소규모환경영향평가용역,㈜자연과사람,2025.08.26~2026.08.25,,,,2025.08~과업완료시 (1회),8지점,,3일연속,,
63,강원특별자치도교육청유아교육원 유아놀이체험장 소규모환경영향평가 용역,㈜자연과사람,2025.03.07~2026.03.06,,,,2025.03~과업완료시 (1회),1지점,,1일연속,,
64,내설악 용대관광지 조성계획(변경) 소규모환경영향평가 용역,㈜자연과사람,2025.03.19~2026.03.18,,,,2025.03~과업완료시 (1회),1지점,,1일연속,,
65,북면 원통리 역세권 일원(중로1~4호선) 군계획도로 개설공사 소규모환경영향평가 용역,㈜자연과사람,2025.03.25~2026.03.24,,,,2025.03~과업완료시 (1회),1지점,,1일연속,,
66,산청 송림골프장 조성사업 전략 및 환경영향평가 용역,㈜자연과사람,2025.04.04~2025.04.03,,,,2025.04~과업완료시 (3회),5지점,,3일연속,,
67,원주시 데이터센터 도시첨단산업단지 전략환경영향평가 및 경관심의 용역,㈜자연과사람,2025.07.29~2026.07.28,,,,2025.07~과업완료시 (1회),2지점,,3일연속,,
68,"학저수지 군관리계획(용도지역, 체육시설) 결정(변경) 및 실시설계 소규모 환경영향평가",㈜자연과사람,2025.09.10~2026.09.09,,,,2025.09~과업완료시 (1회),3지점,,3일연속,,
69,화진포 관광지에 조성계획 변경에 따른 환경영향평가 변경협의 등 용역,㈜자연과사람,2025.07.23~2026.07.22,,,,2025.09~과업완료시 (1회),3지점,,1일연속,,
70,포천 영중면 영송리 축사시설 확장사업 소규모 환경영향평가 중 환경질측정 용역,(주)청림엔지니어링,2025.05.23~과업완료시,,,,2025.05~과업완료시 (1회),1지점,,1일연속,,
71,포천 일동면 화대리 동식물관련시설 부지조성사업 소규모 환경영향평가 중 환경질측정 용역,(주)청림엔지니어링,2025.05.23~과업완료시,,,,2025.05~과업완료시 (1회),1지점,,1일연속,,
72,강화종합리조트 조성사업 사후환경영향조사 환경질측정,㈜청운이엔씨,2025.03.14~과업완료시,,,2025.03.14~과업완료시 (연1회),,5지점,,,,"1일연속(PM-10,NO2)"
73,송도항 건설공사 사후환경영향조사용역(공사시) 중 환경질 조사,㈜퍼스트이앤씨,2025.02.19~2029.11.20,2025.02~2029.11 (분기1회),,,,3지점,,,3일연속,
74,청주 하수처리장 증설사업(3단계) 사후환경영향조사(운영시),㈜도화엔지니어링,2025.09.03~2028.08.31,,,2025.09~2028.08 (반기 1회),,2지점,,,,"1일연속(PM-10,NO2)"
75,"[당진] 9,10호기 2025년 접속설비 증설사업 사후환경영향조사 용역",㈜도화엔지니어링,2025.08.07~2026.08.06,,,2025.08~2026.08 (분기 1회 / 연1회),,분기 11지점/ 연 1회 2지점,,,,"3일연속(PM-10,NO2,SO2,CO,PB,O3) / 3일 연속 PM-10 3개지점"
76,구룡마을 도시개발사업 사후환경영향조사,㈜도화엔지니어링,2025.04.30~2031.03.27,2025.04.30~2031.03.27 (월1회),2025.04.30~2031.03.27 (반기 1회),,,3지점,,,3일연속,
77,고한 풍력발전 조성사업 소규모 환경영향평가 용역 용역,㈜백두엔지니어링,2025.08.22~과업완료시 ,,,,2025.08~과업완료시 ,3지점,,1일연속,,
78,삼성~동탄 광역급행철도 제1공구 사후환경영향조사,㈜서영엔지니어링,2019.08.26~2027.03.31,,,2019.08~2027.03 (분기 1회),,5지점,,,3일연속,
79,의성 황학산 풍력발전 조성사업 사후,㈜서영엔지니어링,2022.11.01~2028.11.02,,,2022.11~2028.11 (분기 1회),,4지점,,,3일연속,
80,부천옥길 공공주택지구 사후환경영향조사(운영시),㈜서영엔지니어링,2023.05.01~2025.12.31,,2023.05.01~2025.12.31 (분기1회),,,,,,1일연속,
81,광주연구개발특구 첨단3지구 개발사업 사후환경영향조사,㈜서영엔지니어링,2021.11.26~2025.12.31,2021.11~2025.12 (분기 1회),,,,8지점,,,3일연속,
82,고부~영원간 지방도 확.포장공사 사후환경영향조사,㈜서영엔지니어링,2022.11.07~2028.11.02,,,2022.11~2028.11 (분기 1회),,4지점,,,3일연속,
83,화성동탄(2)택지개발사업 사후환경영향조사(공사시) 용역,㈜서영엔지니어링,2025.01.23~2030.01.31,2025.06~2026.12 (분기1회),2022.11~2025.10(반기 1회),,,공사시3지점 / 운영시19지점,,,,"공사시 1일연속(PM-10,NO2) / 운영시 1일연속 (PM-10,NO2,SO2)"
84,부산항 북항 1단계 재개발사업 사후환경영향조사용역(6차) 중 환경질 조사용역,(주)한국항만기술단,2025.0620~2027.06.12,2025.06~2027.06 (분기1회),,,,5지점,,,,"3일연속(PM-10,NO2)"
85,송도항 건설공사 사후환경영향조사용역(공사시) 중 환경질조사 용역,(주)한국항만기술단,2025.02.19~2029.11.20,2025.02~2029.11 (분기1회),,,,3지점,,,3일연속,
86,오천항 건설공사 사후환경영향조사용역(공사시) 중 환경질조사 용역,(주)한국항만기술단,2025.02.24~2028.06.30,2025.02~2028.06 (분기1회),,,,2지점,,,,"3일연속(PM-10,NO2)"
87,포항영일만항 남방파제(2단계) 축조공사 사후환경영향조사용역 (공사시),(주)한국항만기술단,2025.06.17~2028.12.08,2025.06~2028.12 (분기1회),,,,4지점,,,1일연속,
88,제 4차 전국무역항 기본계획 수정계획 전략환경영향평가,㈜해담솔루션,2025.02.19~2026.10.02,,,,2024.02~2026.10 (14회),3지점,,3일연속,,
89,미호강 인산지구 등 3개소 사후환경영향조사 용역,㈜화신엔지니어링,2025.01.23~2030.10.06,2025.01~2030.10 (분기 1회),,,,6지점,,,1일연속,
90,사천진항 정비사업 사후환경영향조사(운영시),㈜건일,2022.03.28~2027.02.28,,2022.03~2027.02 (반기 1회),,,3지점,,,,"1일연속(PM-10,NO2)"
91,한화토탈에너지스(주) 주변 환경질 조사,한화토탈에너지스㈜,2025.01.01~2026.12.31,2025.01~2026.12 (분기 1회),,,,4지점,,,,"1일연속(PM-10,O3,NO2,SO2,CO)"
92,성남금토 공공주택지구 사후환경영향조사,㈜동성엔지니어링,2023.05.19~2025.12.11,2023.05~2025.12 (분기 1회),,,,5지점,,,3일연속,
